Position_X,Position_Y,Time (s),Vinkel,Vinkel_hastighet
785,878,0.1050260066986084,-14.743562836470744,-288.18844779549414
657,832,0.16834092140197754,-24.202396008906657,-149.39344413161763
557,779,0.243927001953125,-32.07164660897195,-104.10978506472955
485,729,0.3083009719848633,-38.161125320318476,-94.59535753883485
445,694,0.3744320869445801,-41.852885395906405,-55.82485760049159
430,680,0.4343140125274658,-43.27918516632713,-23.818535501943895
441,690,0.5009670257568359,-42.245625769392674,15.506566723063429
478,724,0.568774938583374,-38.75732366969414,51.44387954577057
546,774,0.6426548957824707,-32.90181962254905,79.25700378203094
645,829,0.7103259563446045,-25.04620077964279,116.08535136956273
772,876,0.7767200469970703,-15.650255745565286,141.51779084165446
919,903,0.8423521518707275,-5.276019950585867,158.06648003976068
1071,903,0.901932954788208,5.276019950585867,177.10469454039298
1215,878,0.9756851196289062,15.412957916759687,137.44597176325883
1337,832,1.0420210361480713,24.455434599840782,136.31343558008493
1433,780,1.1091480255126953,32.03480337469584,112.9108998719581
1499,734,1.1760530471801758,37.61936364115917,83.46997171929371
1537,702,1.2398278713226318,41.06832851997776,54.08035106634743
1547,692,1.3071520328521729,42.04922089099365,14.569693089835026
1533,704,1.3769290447235107,40.76723772357074,-18.372571897844647
1492,738,1.4437370300292969,37.06444962991118,-55.42433403299866
1421,787,1.509573221206665,31.070895824528872,-91.03737166743406
1321,838,1.5773189067840576,23.27153226865732,-115.12708874960855
1194,882,1.6409862041473389,13.935341113454953,-146.640293240825
1050,904,1.7086091041564941,3.818689878945151,-149.6039246045369
901,901,1.7769050598144531,-6.531610850355481,-151.55071233115459
762,873,1.842703104019165,-16.37389216304244,-149.58318946480384
643,828,1.9097421169281006,-25.20112364547506,-131.67305274054905
552,778,1.976133108139038,-32.4020908183064,-108.46301646487578
489,734,2.032879114151001,-37.72913132419373,-93.87516197640966
455,706,2.1005780696868896,-40.78170584465349,-45.09042268519965
447,698,2.1754190921783447,-41.56441114226694,-10.458238965172058
464,714,2.2413182258605957,-39.947501824126,24.53612403976766
509,750,2.3082950115203857,-35.95612267452487,59.593471234577045
584,798,2.3744330406188965,-29.78783164835216,93.26390747122527
688,849,2.4398610591888428,-21.762861087023712,122.65342488935832
817,888,2.5048508644104004,-12.423650392355725,143.70270325983526
961,906,2.576179027557373,-2.3570912885871476,141.13021644797294
1106,900,2.6435670852661133,7.709033448824419,149.37549885943648
1240,869,2.7099111080169678,17.25059529609815,143.81946483868947
1352,825,2.7768261432647705,25.603490587067608,124.82837765887209
1436,777,2.8395180702209473,32.32201261806141,107.16725991992902
1493,737,2.9073679447174072,37.161795016080625,71.3307494514486
1522,712,2.97638201713562,39.82340080369001,38.56613143302903
1526,709,3.0451059341430664,40.170961528412626,5.057347425132372
1504,726,3.1107399463653564,38.23548342529069,-29.488949975613828
1455,763,3.1767020225524902,33.96023760616886,-64.8136939624671
1378,810,3.239410877227783,27.684088500094795,-100.08393772413838
1272,857,3.3054251670837402,19.62111832429891,-122.13976994055774
1144,892,3.366858959197998,10.397959787952173,-150.13168191201706
1003,906,3.444204092025757,0.5549054537099397,-127.26145750065359
862,896,3.5096209049224854,-9.257247714650171,-149.99436282305976
733,864,3.575824022293091,-18.47878644215146,-139.29160882076076
625,820,3.6333072185516357,-26.565051177077976,-140.6718008260455
544,774,3.700129985809326,-33.01806339439087,-96.56906593568584
491,737,3.7660090923309326,-37.49265333305034,-67.92122988480321
466,716,3.8323111534118652,-39.75236344975535,-34.08204933398162
465,717,3.9080870151519775,-39.761306747306804,-0.11802303987154646
492,738,3.9660420417785645,-37.395659179397384,40.818677957852536
546,776,4.033222198486328,-32.82666668408525,68.0110425342923
629,823,4.099952936172485,-26.224745473272208,98.9337363819156
739,868,4.171892881393433,-17.99758495540129,114.36150656777754
870,898,4.243545055389404,-8.688255853141598,129.92388901951625
1011,907,4.30932092666626,1.1083653178165194,148.9394360087367
1148,893,4.377075910568237,10.657946056495852,140.94285303786506
1270,859,4.439856052398682,19.44388198989157,139.94769169404938
1369,815,4.50842809677124,26.968973516663656,109.73993258663154
1441,771,4.573323965072632,32.83987215865809,90.46644718163883
1487,739,4.643982172012329,36.74449365941463,55.26069327076063
1507,723,4.71131706237793,38.5291701840343,26.504484004200716
1502,727,4.7775139808654785,38.0828419478654,-6.742432221416072
1471,750,4.838068008422852,35.39180483540984,-44.44026633746005
1413,789,4.907263994216919,30.522018287003853,-70.37672044876783
1328,833,4.969606161117554,23.85650356177267,-106.91823939734304
1218,874,5.043461084365845,15.687738402799466,-110.60556019415031
1088,900,5.11111307144165,6.470531177401717,-136.24444194181098
951,905,5.179326057434082,-3.052882514792463,-139.6129131958953
818,888,5.238025903701782,-12.356004282304205,-158.48630548511025
699,853,5.306800842285156,-20.953026027088214,-125.00224532170347
604,810,5.365654945373535,-28.174233844655802,-122.69676095010374
567,789,5.40958309173584,-31.118000337068793,-67.01321899935834
511,753,5.477049112319946,-35.72247632782744,-68.24881549102898
483,732,5.543982028961182,-38.14169927622801,-36.143994163107536
480,730,5.606878042221069,-38.390056106370025,-3.94868954755207
504,748,5.673387050628662,-36.317000169009134,31.169551117893796
554,782,5.743613004684448,-32.13724898104178,59.5186102369936
633,826,5.810086965560913,-25.8851978915782,94.05263364826995
738,868,5.876834154129028,-18.063329367287402,117.18648668338464
863,897,5.932883977890015,-9.177780548892185,158.5294693572263
998,907,5.999760150909424,0.20784351218125247,140.3433186637263
1131,895,6.073662996292114,9.47372208441977,125.3791856627049
1250,865,6.140295028686523,17.995909297240342,127.8992536558983
1348,824,6.208430051803589,25.382579424291528,108.4122348408081
1421,784,6.277574062347412,31.178704258816722,83.8268533881417
1467,752,6.343612909317017,35.08347387909274,59.128373668808266
1488,736,6.406468152999878,36.925755078319135,29.309904652055696
1485,738,6.46896505355835,36.67434966957316,-4.022686029217734
1457,759,6.5383501052856445,34.23185543889217,-35.20202363299754
1402,793,6.608155965805054,29.71891252118016,-64.64991455061578
1322,835,6.676993131637573,23.41804343161198,-91.5329533597906
1217,874,6.743613958358765,15.620831478010428,-117.03865498747014
1093,900,6.806787014007568,6.815219418644165,-139.38873098554976
961,906,6.8652050495147705,-2.3570912885871476,-157.01162539264934
831,891,6.940171003341675,-11.43215604203022,-121.05581654303118
716,859,7.004787921905518,-19.70506000689065,-128.0299981604143
621,820,7.076975107192993,-26.812280622242785,-98.45543342698015
553,781,7.132416009902954,-32.232571728953644,-97.76700670021754
510,753,7.205521106719971,-35.77854988545687,-48.505211139776925
494,741,7.277456045150757,-37.160035356295744,-19.204652161732277
502,748,7.3357579708099365,-36.42821404533495,12.552266544999974
538,773,7.405132055282593,-33.40292101836457,43.60840290674814
600,810,7.4767069816589355,-28.41763805901709,69.65124816384356
689,851,7.54367995262146,-21.647492383094804,101.08773104467187
801,885,7.601372957229614,-13.549559916764828,140.36246718870694
927,905,7.677216053009033,-4.711909961643688,116.52543800195662
1059,904,7.737729072570801,4.441241189432759,151.25920367820237
1182,884,7.805444002151489,13.093465310093467,127.77424674644016
1288,850,7.87702202796936,20.832794950160608,108.12437967707737
1372,811,7.9437501430511475,27.281600510963155,96.64300501967418
1431,776,8.004097938537598,32.06454248444069,79.25628326475398
1464,752,8.07678484916687,34.91183021660998,39.17194591872812
1473,745,8.135085105895996,35.70846669277289,13.66437338113678
1458,756,8.207367897033691,34.40768194361309,-17.99577366460382
1419,782,8.276386022567749,31.131497774534765,-47.46846054898527
1354,819,8.332823038101196,25.91009257030006,-92.51738694687448
1263,858,8.409933090209961,19.00744716660927,-89.51680377487651
1153,889,8.476063966751099,11.05092405258578,-120.31479892866713
1028,904,8.54415512084961,2.293386942724267,-128.6149019767173
900,901,8.605684041976929,-6.600486120787112,-144.54784677773958
780,879,8.677022933959961,-15.060772941686201,-118.59291034280918
678,845,8.743513107299805,-22.508094409860316,-112.00634761635314
598,808,8.80439805984497,-28.60494515399831,-100.13723406641725
543,776,8.87623906135559,-33.0007130694786,-61.18745316809747
514,757,8.937542915344238,-35.393315831051154,-39.02858639222956
510,754,9.00226092338562,-35.73820819084878,-5.329155983557094
532,769,9.076964139938354,-33.9006424464509,24.598214497239308
580,799,9.134423971176147,-29.993135772947443,68.00414462292017
654,836,9.20410704612732,-24.278145682776696,82.0140341707845
753,872,9.276978015899658,-16.99082329198616,100.00309332450705
870,898,9.335021018981934,-8.688255853141598,143.04165873491684
995,907,9.4096519947052,0.0,116.41621684483736
1119,896,9.476784229278564,8.640606413823965,128.71024581166344
1231,870,9.544687032699585,16.632683181788437,117.69877479742439
1323,834,9.60200810432434,23.50967920107954,119.97326331074838
1392,799,9.677753210067749,28.905537837814762,71.23705992323872
1436,770,9.734781980514526,32.583884041175935,64.49983358476973
1456,756,9.803883075714111,34.29213660720411,24.721063553250772
1454,758,9.864754915237427,34.09765257802536,-3.1949753893054855
1426,776,9.945242166519165,31.767981362684004,-28.944599029560035
1374,807,10.002802848815918,27.53395453397436,-73.55762057998558
1298,843,10.064749002456665,21.658850727232895,-94.84210820923232
1199,877,10.136792182922363,14.357177555634383,-101.35134407447546
1084,899,10.207267999649048,6.201944825024026,-115.71675376587024
961,905,10.266288042068481,-2.3599451405922363,-145.06749935505096
840,892,10.344454050064087,-10.806993116295917,-108.0654902598912
732,865,10.4047110080719,-18.52249005275978,-128.04325328642588
643,831,10.477740049362183,-25.112880199344257,-90.24341590886189
578,798,10.534618139266968,-30.147160560070137,-88.51001095770528
538,774,10.611143827438354,-33.36496145176186,-42.04863711235294
523,764,10.66413426399231,-34.607945410583305,-23.45676011851377
533,770,10.743839979171753,-33.80488857370002,10.075272959728737
568,793,10.80190896987915,-30.916463286922244,49.74126899040137
630,825,10.86342716217041,-26.101753084736195,78.26481928127303
716,861,10.930758237838745,-19.65847129460026,95.69551245363716
822,890,11.009414911270142,-12.056105743293045,96.65251808465963
941,905,11.067435026168823,-3.74492717354201,143.24650311817783
1062,903,11.131644010543823,4.654155772420181,130.808531356126
1176,884,11.203181028366089,12.687166264822347,112.29166013545958
1274,854,11.264950037002563,19.82246457036522,115.51583007484888
1351,819,11.337638139724731,25.721608265722974,81.15693592809473
1405,789,11.403626918792725,30.03990466310848,65.43985899384565
1435,770,11.46569013595581,32.524890287791045,40.03958766998287
1442,765,11.532778024673462,33.12664804536316,8.969692877125658
1426,775,11.602342128753662,31.804867364764053,-19.00090137113291
1385,800,11.66595983505249,28.442928624363358,-52.845959654830004
1321,833,11.73303508758545,23.409471771162526,-75.04193667742847
1235,866,11.806519031524658,16.979710844586116,-87.49885460551157
1129,893,11.876637935638428,9.359436840633851,-108.67645608933356
1013,905,11.942126035690308,1.2498914301210469,-123.83235128349115
837,892,12.059232950210571,-11.011095176910185,-104.69908337401925
649,834,12.165542125701904,-24.649724851697226,-128.29212165133336
550,782,12.308119058609009,-32.37073841105554,-54.15331499934085
538,774,12.370787143707275,-33.36496145176186,-15.864902192995467
549,782,12.43142294883728,-32.42892318784693,15.437055084995379
587,804,12.504456996917725,-29.40282100558368,41.43412917397249
649,835,12.565258026123047,-24.620951642887448,78.64783582113517
735,867,12.643982172012329,-18.281927265117282,80.5219835180604
839,893,12.71004319190979,-10.862000182378614,112.3192934994916
954,906,12.765210151672363,-2.841647140124345,145.38327065279918
1071,901,12.829573154449463,5.288799821923046,126.32174714104868
1180,882,12.903483867645264,12.989399072277605,104.18786286034738
1273,853,12.966836929321289,19.780501385777914,107.19454015069734
1345,821,13.03256607055664,25.28299065148059,83.71460758935388
1395,794,13.099539995193481,29.25859960374653,59.360549255897254
1422,777,13.167172193527222,31.492699603712666,33.03308268853939
1427,774,13.236155033111572,31.901371274469437,5.924251208259657
1408,785,13.299378871917725,30.362437515659387,-24.34103635384277
1366,809,13.365574836730957,26.97228605459311,-51.2138688609097
1301,840,13.44137191772461,21.931272771482185,-66.50669415004367
