Position_X,Position_Y,Time (s),Vinkel,Vinkel_hastighet
973,410,0.035730838775634766,44.4375069125009,0
972,407,0.06695079803466797,44.59594619390134,5.074935559199917
973,406,0.10330796241760254,44.75756514425007,4.44531230891574
967,401,0.1366419792175293,44.67166101822927,-2.5770709403671077
1136,339,0.16793298721313477,60.747792583584825,513.7620228665467
1138,336,0.20370101928710938,61.095876919366574,9.731716161007942
978,387,0.23653817176818848,46.73071279773061,-437.46680318621503
954,385,0.269589900970459,44.914356148220435,-54.954965847457096
962,386,0.30187201499938965,45.50702906091478,18.359172889458353
964,387,0.3357691764831543,45.5889226608959,2.4159427042392725
963,389,0.37009310722351074,45.33604177446301,-7.367480384044871
968,391,0.403095006942749,45.582085135190425,7.455430227369091
967,394,0.43514108657836914,45.24875001242842,-10.401744193117999
962,401,0.4694850444793701,44.255940797111286,-28.907827635328967
955,408,0.5018658638000488,43.09910621964136,-35.72592052144782
956,416,0.5359721183776855,42.552951357676385,-16.013334466901053
947,425,0.5695521831512451,41.08842818747134,-43.61287508171191
1078,368,0.6041960716247559,55.22685770634135,408.10746546769644
934,445,0.6351690292358398,38.48247740739799,-540.6128955844765
936,457,0.6695852279663086,37.82622129732816,-19.0682333981539
933,466,0.7037811279296875,36.957943338373425,-25.391288425939713
927,474,0.7367579936981201,35.90666616302451,-31.8792326332983
921,484,0.7700390815734863,34.743180158303595,-34.959374197082596
921,494,0.8026349544525146,34.13444160057418,-18.675326167475333
910,508,0.8355541229248047,32.34149069120236,-54.46525512578023
903,516,0.8696701526641846,31.270148154344234,-31.40290781319969
894,523,0.902576208114624,30.08290557287977,-36.07975994730199
885,531,0.9370989799499512,28.851931511382183,-35.65687214715278
874,535,0.9696497917175293,27.641560864979173,-37.184038759014506
865,544,1.0021722316741943,26.379177443047993,-38.8157660868391
954,491,1.0352020263671875,37.13918168393819,325.76660984128944
944,499,1.0694169998168945,35.814350621289016,-38.72079762378183
833,565,1.1017930507659912,22.469607209586485,-412.1794666274721
